"NUMERO_FOURNISSEUR";"NUMERO_ENSEIGNE";"NUMERO_ADRESSE";"NUMERO_GROUPE";"NOM_FOURNISSEUR";"PRENOM_FOURNISSEUR";"TELEPHONE_FOURNISSEUR";"MAIL_FOURNISSEUR";"NUMERO_FOURNISSEUR_1";"NUMERO_ANNEE";"OBJECTIF";"ENGAGE";"FACTURE"
1;8;1;1;"Carre";"Flavie";"0685885486";"flaviec@fournisseur.fr";1;"2022";12748;7847;6189
2;9;2;3;"J";"Lois";"0685995486";"lois@fournisseur.fr";2;"2022";8421;7913;7726
3;1;3;2;"Renault";"Marie";"0688854868";"marier@fournisseur.fr";3;"2022";11351;3865;1727
4;2;4;1;"Collet";"Florence";"0685486887";"florencec@fournisseur.fr";4;"2022";6210;5255;399
5;2;5;1;"Le Blanc";"Félix";"0688548688";"felixl@fournisseur.fr";5;"2022";7210;2852;2730
6;3;6;2;"Barret";"Noah";"0678888548";"noahb@fournisseur.fr";6;"2022";17885;9687;3933
7;4;7;2;"Poullain";"Émile";"0688548688";"emilep@fournisseur.fr";7;"2022";14477;13406;5776
8;5;8;3;"Bourgeois";"Léa";"0687854868";"leab@fournisseur.fr";8;"2022";5609;2264;450
9;6;9;4;"Pichon";"Nathan";"0688854868";"nathanp@fournisseur.fr";9;"2022";10628;10465;4100
10;6;10;4;"Barron";"Émmilie";"0788548683";"emmilieb@fournisseur.fr";10;"2022";10701;7978;3648
11;7;11;5;"Lefèvre";"Alice";"0688888888";"alicel@fournisseur.fr";11;"2022";12918;10237;8630
